,name,url,category,thc,cbd,rating,flavor&aroms,Top effect,description,feelings,negatives,flavors,help with
10,Zkittlez,https://leafly-public.s3-us-west-2.amazonaws.com/strains/photos/HIhdYnYSQICmDZpoCnO1_Zkittlez.png,Indica,20.0,0.0,4.51061320754717,grape,relaxed,"Zkittlez, also known as ""Skittles,"" ""Skittlz,"" and ""Island Skittles"" is an indica marijuana strain bred from a mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain. This candy-flavored strain was bred by 3rd Gen Family and Terp Hogz. Zkittlez won 1st Place at the 2016 Emerald Cup and has placed in several Cannabis Cups in San Francisco and Michigan. This strain features chunky colas that explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are calming, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.","relaxed,sleepy,hungry","headache,dry eyes,dizzy","grape,grapefruit,berry","Stress
24% of people say it helps with stress
Anxiety
23% of people say it helps with anxiety
Depression
19% of people say it helps with depression"
11,OG Kush,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/og-kush.png,Hybrid,18.0,0.0,4.268596555514841,pine,hungry,"OG Kush, also known as ""Premium OG Kush,"" was first cultivated in Florida in the early ‘90s when a marijuana strain from Northern California was supposedly crossed with Chemdawg, Lemon Thai and a Hindu Kush plant from Amsterdam. The result was a hybrid with a unique terpene profile that boasts a complex aroma with notes of fuel, skunk, and spice. OG often refers to “Original Gangster,” indicating either the strain’s authenticity or intensity.  OG Kush should smell like lemon-pine-fuel with a high-THC, mixed head and body effect. It's often enjoyed in the back half of the day to ease stress.
The genetic backbone of West Coast cannabis varieties, OG Kush arrived in Los Angeles in 1996 when Matt “Bubba” Berger brought it (along with “The Bubba,” which was later used to create the famed Bubba Kush) from Florida to legendary cultivator Josh D. Since then, OG Kush has become a worldwide staple used to create numerous famous strains like GSC and Headband. There are many different phenotypes of OG Kush weed, including Tahoe OG, SFV OG, and Ghost OG.
OG Kush growing info
OG Kush is a popular strain choice for advanced growers. This strain can be grown indoors and outdoors. This strain grows best when the plants are able to grow large and are not confined to pots. OG Kush has a flowering time of 56 days. If grown outdoors, this plant will finish in early October. OG Kush offers a medium-size yield.","hungry,sleepy,euphoric","dry mouth,dry eyes,paranoid","pine,woody,earthy","Stress
39% of people say it helps with stress
Anxiety
30% of people say it helps with anxiety
Pain
29% of people say it helps with pain"
12,Mac 1,https://images.leafly.com/flower-images/defaults/generic/strain-30.png,Hybrid,22.0,0.0,4.703812316715543,butter,uplifted,"Mac 1, also known as ""The MAC,"" is a hybrid marijuana strain that crosses Alien Cookies F2 with Miracle 15. Mac 1 is a popular strain that consumers turn to for upbeat and balancing effects. But Mac 1 is special because not just anyone can grow it. In fact, growers of Mac 1 (Capulator's Cut) have been carefully selected by the breeder in order to protect the quality of this versitile flower. Mac 1 is an instagram worthy strain, with eye-poppingly gorgeous buds that are nearly white and drenched in milky trichomes. Mac 1 comes through with a smooth, creamy, and funky terpene profile you can enjoy day and night. 
 ","uplifted,euphoric,energetic","dizzy,anxious,paranoid","butter,citrus,vanilla","Anxiety
19% of people say it helps with anxiety
Depression
17% of people say it helps with depression
Stress
15% of people say it helps with stress"
13,Biscotti,https://images.leafly.com/flower-images/defaults/purple/strain-17.png,Hybrid,22.0,0.0,4.559681697612732,vanilla,tingly,"Biscotti is a potent indica-dominant hybrid marijuana strain made by crossing Gelato 25 with Sour Florida OG. This strain produces a cerebral high that leave consumers feeling relaxed, creative, and buzzy from head-to-toe. The effects of Biscotti are known to creep up on consumers, so it's best to take it slow with this strain. In terms of flavor, Biscotti tastes like sweet cookies with undertones of diesel. With a THC level of 21%, medical marijuana patients turn to this strain to relieve symptoms associated with stress, anxiety, and depression. According to growers, Biscotti flowers into small, dense buds marked by dark green and purple foliage with bright orange pistils. The striking trichome coverage of this strain gives it top shelf appeal. Biscotti was originally bred by Cookies Farms. If you've smoked, dabbed, or consumed this strain before, tell us about your experience by leaving a review.","tingly,relaxed,happy","paranoid,anxious,headache","vanilla,diesel,honey","Anxiety
22% of people say it helps with anxiety
Stress
15% of people say it helps with stress
Depression
14% of people say it helps with depression"
14,Purple Punch,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/purple-punch-fixed.jpg,Indica,18.0,0.0,4.558014755197854,grape,sleepy,"Purple Punch is the sweet and sedating union of two indica-dominant classics. By breeding Larry OG with Granddaddy Purple, the astonishing trichome laden Purple Punch was born, smelling of grape candy, blueberry muffins, and tart Kool-Aid. The potency of this strain gives the consumer a one-two punch to the head and body, initially landing between the eyes and settling down into the limbs. Purple Punch is a delicious dessert strain that is best suited for after dinner. Its effects may help with managing nausea, stress, minor body aches, and sleeplessness.","sleepy,relaxed,hungry","dry mouth,dizzy,dry eyes","grape,berry,blueberry","Anxiety
30% of people say it helps with anxiety
Stress
26% of people say it helps with stress
Insomnia
20% of people say it helps with insomnia"
15,White Widow,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/white-widow.png,Hybrid,15.0,0.0,4.281513562799179,woody,energetic,"Among the most famous strains worldwide is White Widow, a balanced hybrid first bred in the Netherlands by Green House Seeds. A cross between a Brazilian sativa landrace and a resin-heavy South Indian indica,  White Widow has blessed every Dutch coffee shop menu since its birth in the 1990s. Its buds are white with crystal resin, warning you of the potent effects to come. A powerful burst of euphoria and energy breaks through immediately, stimulating both conversation and creativity. White Widow’s genetics have given rise to many other legends like White Russian, White Rhino, and Blue Widow. Still, many growers prefer cultivation of the original White Widow, which flowers in about 60 days indoors.","energetic,talkative,creative","dry mouth,paranoid,dry eyes","woody,spicy/herbal,earthy","Stress
36% of people say it helps with stress
Anxiety
28% of people say it helps with anxiety
Pain
26% of people say it helps with pain"
16,Jack Herer,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/jack-herer.jpg,Sativa,18.0,0.0,4.364164247200332,pine,energetic,"Jack Herer, also known as ""JH,"" ""The Jack,"" ""Premium Jack,"" and ""Platinum Jack"" is a sativa-dominant marijuana strain that has gained as much renown as its namesake, the marijuana activist and author of The Emperor Wears No Clothes. Combining a Haze hybrid with a Northern Lights #5 and Shiva Skunk cross, Sensi Seeds created Jack Herer hoping to capture both cerebral elevation and heavy resin production. Its rich genetic background gives rise to several different variations of Jack Herer, each phenotype bearing its own unique features and effects. However, consumers typically describe this 55% sativa hybrid as blissful, clear-headed, and creative.
Jack Herer was created in the Netherlands in the mid-1990s, where it was later distributed by Dutch pharmacies as a recognized medical-grade strain. Since then, this spicy, pine-scented strain has taken home numerous awards for its quality and potency. Many breeders have attempted to cultivate this staple strain themselves in sunny or Mediterranean climates, and indoor growers should wait 50 to 70 days for Jack Herer to flower.","energetic,creative,uplifted","paranoid,dry eyes,dry mouth","pine,spicy/herbal,woody","Stress
36% of people say it helps with stress
Anxiety
30% of people say it helps with anxiety
Depression
30% of people say it helps with depression"
17,Mimosa,https://leafly-public.s3-us-west-2.amazonaws.com/strains/photos/sE4UZNIUQbSxoqEEk0E1_Mimosa.png,Hybrid,20.0,0.0,4.484525080042689,orange,energetic,"Mimosa, also known as ""Purple Mimosa,"" is a hybrid marijuana strain made by crossing Clementine with Purple Punch. In small doses, this strain produces happy, level-headed effects that will leave you feeling uplifted and motivated enough to take on any mundane task. In large doses, Mimosa may make you feel sleepy and relaxed. This strain has a strong aroma and flavor that reminds you of its namesake, with notes of fruit and citrus flavors bursting through. Medical marijuana patients choose this strain to help relieve symptoms associated with depression and stress. Mimosa is a staple from the Tangie family. Breeder Symbiotic Genetics has released a refined Mimosa dubbed Mimosa v6.","energetic,focused,uplifted","anxious,paranoid,dry eyes","orange,citrus,grapefruit","Anxiety
22% of people say it helps with anxiety
Stress
20% of people say it helps with stress
Depression
20% of people say it helps with depression"
18,Granddaddy Purple,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/granddaddy-purple.png,Indica,17.0,0.0,4.406027704979408,grape,sleepy,"Granddaddy Purple is an indica marijuana strain that goes by many different names, including ""Grand Daddy Purp,"" ""Granddaddy Purps,"" ""GDP,"" and ""Grandaddy Purple Kush."" Popularized in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross of Mendo Purps, Skunk, and Afghanistan. This California staple inherits a complex grape and berry aroma from its Mendo Purps and Afghanistan parent, while Skunk passes on its oversized, compact bud structure. GDP flowers bloom in shades of deep purple, a contrasting backdrop for its snow-like dusting of white crystal resin. Its potent effects are clearly detectable in both mind and body, delivering a fusion of cerebral euphoria and physical relaxation. While your thoughts may float in a dreamy buzz, your body is more likely to find itself fixed in one spot for the duration of GDP’s effects. Granddaddy Purple is typically pulled off the shelf for consumers looking to combat pain, stress, insomnia, appetite loss, and muscle spasms. GDP blesses growers with massive yields which are ready for harvest following a 60 day flowering time indoors.","sleepy,hungry,relaxed","dry mouth,dry eyes,dizzy","grape,berry,violet","Stress
41% of people say it helps with stress
Pain
35% of people say it helps with pain
Anxiety
33% of people say it helps with anxiety"
19,Gary Payton,https://images.leafly.com/flower-images/defaults/generic/strain-12.png,Hybrid,21.0,0.0,4.62109375,apricot,giggly,"A collab between Cookies and Powerzzz Genetics, Gary Payton is a highly coveted hybrid marijuana strain bred by Cookies cultivar and named after the NBA Hall of Famer. Combining the Y and Snowman breeds a potent, flavorful, and colorful strain. It has high amounts of THC and almost no CBD, and middle-of-the-road effects that provide an even-keeled experience.","giggly,relaxed,talkative","anxious,paranoid,dry mouth","apricot,pepper,lavender","Anxiety
14% of people say it helps with anxiety
Stress
12% of people say it helps with stress
Depression
11% of people say it helps with depression"
20,Oreoz,https://images.leafly.com/flower-images/defaults/red-orange-amber/strain-4.png,Hybrid,22.0,0.0,4.614814814814815,tobacco,hungry,"Oreoz, also known a ""Oreo Cookies"" and ""Oreos,"" is a potent hybrid marijuana strain made by crossing Cookies and Cream with Secret Weapon. This strain produces a long-lasting and relaxing high. Consumers should take caution as the high potency of Oreoz may be overwhelming to those new to cannabis. This strain has an aroma reminiscent of campfire s'mores, with extra delicious hints of chocolate and diesel. Medical marijuana patients use Oreoz to help relieve symptoms associated with appetite loss, insomnia, chronic stress and depression. Growers say this strain has dense buds that are lumpy, long, and neon green in color with amber hairs and glittering trichomes. ","hungry,happy,relaxed","anxious,dizzy,paranoid","tobacco,vanilla,coffee","Anxiety
15% of people say it helps with anxiety
Stress
13% of people say it helps with stress
Depression
10% of people say it helps with depression"
21,Sherbert,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/sunset-sherbert.jpg,Hybrid,18.0,0.0,4.561053984575835,sweet,relaxed,"Sherbert, also known as ""Sherbet"", ""Sherbert OG"", ""Sunset Sherbet"", and ""Sunset Sherbert"" is an indica-dominant hybrid marijuana strain made by crossing Girl Scout Cookies with Pink Panties. This strain exhibits powerful, full-body effects that are elevated by a jolt of cerebral energy and carefree state of mind. Sherbet boasts a THC level of 18% and may be overwhelming to novice cannabis consumers. The high potency of Sherbert makes it an ideal choice for medical marijuana patients seeking relief from symptoms associated with stress, tension, and mood disorders. This strain features a sweet, dessert-like flavor profile with notes of skunky citrus, sweet berry, and candy. The average price per gram of Sherbert is $20, but may vary based on your location. According to growers, Sherbert flowers into oblong fluffy nugs with rich trichome coverage and dark amber hairs throughout light and dark green foliage. This strain was originally bred by Mr. Sherbinski, who bred Sherbert intentionally to inherit the genetic lineage of its parent strain Girl Scout Cookies.","relaxed,happy,giggly","dry mouth,anxious,dry eyes","sweet,tropical,citrus","Stress
35% of people say it helps with stress
Anxiety
27% of people say it helps with anxiety
Depression
27% of people say it helps with depression"
22,Pineapple Express,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/pineapple-express.png,Hybrid,20.0,0.0,4.39537149817296,pineapple,energetic,"Pineapple Express is a sativa-dominant hybrid marijuana strain made by crossing Trainwreck with Hawaiian. While this strain rose to fame on the silver screen in 2008 amidst the release of Pineapple Express, it is a real strain that you can find on the shelves of dispensaries across the country.  Since then, this strain has become a favorite in the hearts and minds of cannabis lovers. Pineapple Express produces long-lasting energetic effects that you can feel right away. Pineapple Express is 18% THC and may make you feel buzzy, alert, and creative. The best time to smoke Pineapple Express is in the morning, afternoon, or early evening hours. In terms of flavor, this strain packs a punch to your pallet with bright citrus notes infused with pineapple and earthy pine, thanks to the terpenes of caryophyllene, limonene, and pinene. Medical marijuana patients choose Pineapple Express to relieve symptoms associated with depression, pain, and fatigue. According to growers, this strain will flower into dense curly buds with dark green foliage and firey amber hairs. The average price per gram of Pineapple Express is $20.","energetic,happy,talkative","dry mouth,paranoid,dry eyes","pineapple,tropical,mango","Stress
31% of people say it helps with stress
Depression
27% of people say it helps with depression
Anxiety
26% of people say it helps with anxiety"
23,Cereal Milk,https://images.leafly.com/flower-images/defaults/short-dense-heavy/strain-4.png,Hybrid,22.0,0.0,4.641891891891892,vanilla,relaxed,"Cereal Milk is a hybrid marijuana strain from Cookies. Cereal Milk is made by crossing Y Life (Cookies x Cherry Pie) and Snowman, a sativa-dominant Cookies pheno. Cereal Milk has a loud flavor with a sweet milk and ice cream nose that will keep you dipping back into your stash. You can expect dense, quality nugs dripping with trichomes and a potent high.","relaxed,giggly,aroused","headache,paranoid,dizzy","vanilla,butter,sweet","Anxiety
14% of people say it helps with anxiety
Stress
9% of people say it helps with stress
Depression
7% of people say it helps with depression"
24,GMO Cookies,https://images.leafly.com/flower-images/defaults/red-orange-amber/strain-2.png,Hybrid,28.0,0.0,4.682481751824818,pungent,relaxed,"GMO Cookies, also known as as ""GMO Garlic Cookies"" and ""Garlic Cookies,"" is a potent indica-dominant hybrid marijuana strain made by crossing Girl Scout Cookies with Chemdawg. This strain produces a euphoric high with mentally uplifting effects. Consumers say Garlic Cookies promotes an incredible body high that leaves you feeling relaxed and free from pain. In large doses, this strain may lock you to the sofa and make you feel sedated. As a descendent from Girl Scout Cookies, you can expect louds flavors from Garlic Cookies, like a diesel aroma and a garlic-forward taste that lingers on your tastebuds. Medical marijuana patients choose this strain to help relieve symptoms associated with chronic pain, depression, and nausea. According to growers, Garlic Cookies flowers into light green, spade-shaped buds that are dusted with white trichomes and curly orange hairs. This strain was originally bred by Mamiko Seeds. If you've smoked, dabbed, or consumed Garlic Cookies (aka GMO Cookies) before, tell us about your experience by leaving a strain review.","relaxed,sleepy,euphoric","dizzy,anxious,paranoid","pungent,chemical,pepper","Anxiety
26% of people say it helps with anxiety
Stress
19% of people say it helps with stress
Pain
17% of people say it helps with pain"
25,Durban Poison,https://s3-us-west-2.amazonaws.com/leafly-images/flower-images/durban-poison.jpg,Sativa,20.0,0.0,4.434929577464788,pine,energetic,"This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity. Growers and concentrate enthusiasts will both enjoy the over-sized resin glands which make this strain a quality choice for concentrate extraction. The buds are round and chunky, and leave a thick coating of trichomes on almost all areas of the plant.","energetic,focused,uplifted","paranoid,anxious,dry mouth","pine,spicy/herbal,sage","Stress
32% of people say it helps with stress
Depression
28% of people say it helps with depression
Anxiety
24% of people say it helps with anxiety"
26,White Runtz,https://images.leafly.com/flower-images/defaults/generic/strain-9.png,Hybrid,17.0,0.0,4.563559322033898,peach,tingly,"White Runtz is a potent hybrid marijuana strain made by crossing Gelato and Zkittlez. White Runtz produces long-lasting effects that are relaxing and tingly. This strain features a sweet flavor profile that coats your senses. White Runtz is noted for having striking white trichomes that make its buds look white like snow. Medical marijuana patients choose White Runtz to help relieve symptoms associated with chronic pain, anxiety and stress.","tingly,relaxed,euphoric","dry eyes,dizzy,paranoid","peach,sweet,vanilla","Anxiety
19% of people say it helps with anxiety
Stress
12% of people say it helps with stress
Depression
11% of people say it helps with depression"
27,Peanut Butter Breath,https://images.leafly.com/flower-images/defaults/generic/strain-6.png,Hybrid,21.0,0.0,4.585526315789473,nutty,relaxed,"Peanut Butter Breath, also known as ""Peanut Butter"" and ""Peanut Breath,"" is a hybrid marijuana strain known for its sedating effects. Crossed with Do-Si-Dos and Mendo Breath, Peanut Butter Breath has a unique nutty and earthy terpene profile when smoked. Beyond the terps, this strain will bring you down into a quality state of chill and relaxation. Originally from ThugPug Genetics, Peanut Butter Breath is very popular and there are many Do-Si-Dos and Mendo Breath crosses out there—breeders Clout King have one called “Peanut Butter Cup.”","relaxed,sleepy,hungry","anxious,headache,paranoid","nutty,butter,chestnut","Anxiety
17% of people say it helps with anxiety
Stress
14% of people say it helps with stress
Depression
8% of people say it helps with depression"
28,Kush Mints,https://images.leafly.com/flower-images/defaults/generic/strain-17.png,Hybrid,27.0,0.0,4.629464285714286,mint,relaxed,Kush Mints is a hybrid marijuana strain made by crossing Animal Mints with Bubba Kush. The result is a high THC strain with a unique minty taste. Kush Mints provides effects that are uplifting and happy. This strain has a complex flavor profile that tastes like mint and cookies. Growers say Kush Mints grows best when indoors and done hydroponically. Medical marijuana patients choose this strain to help stimulate appetite.,"relaxed,hungry,happy","dry eyes,anxious,headache","mint,menthol,pine","Anxiety
13% of people say it helps with anxiety
Stress
12% of people say it helps with stress
Depression
8% of people say it helps with depression"
